slug,name,tagline,description,website_url,website_host,repo_url,demo_url,video_url,logo_url,category_slug,built_with,human_edited,pricing,maker_handle,launch_date,launch_slot,launched_at,featured,upvote_count,badge_found_at,badge_last_checked_at,badge_http_status
certscope,CertScope,Per-SKU CPSC scope determination and broker-ready certificates for small importers under the July…,Per-SKU CPSC scope determination and broker-ready certificates for small importers under the July 2026 eFiling mandate. Free determination wizard and certificate linter.,https://certscope.thecompound.tech,certscope.thecompound.tech,,,,https://certscope.thecompound.tech/favicon.svg,saas-business,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-16,5,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:03.864+00:00,200
citerank,CiteRank,"Cited, named or absent across five answer engines, every week.","Weekly tracking of whether ChatGPT, Perplexity, Google AI Overviews, Gemini and Claude cite your site, name your brand, or leave you out — one row per buyer question, one column per engine. From $19/mo.",https://citerank.thecompound.tech,citerank.thecompound.tech,,,,https://citerank.thecompound.tech/favicon.svg,ai-apps,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-16,6,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:05.183+00:00,200
parserail,ParseRail,Production AI endpoints behind one key and a pay-per-call credit wallet,"Production AI endpoints behind one key and a pay-per-call credit wallet — the same engine under every app Compound ships, solved once and run in production. Parse documents, extract fields, redact PII, analyze contracts, fight chargebacks, enrich companies — live in minutes, no subscription.",https://parserail.thecompound.tech,parserail.thecompound.tech,,,,https://parserail.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,1,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:06.497+00:00,200
partsproof,PartsProof,EU Cyber Resilience Act readiness packs for hardware and software teams,"Flat-fee CRA reporting-readiness packs for small hardware and software makers: disclosure policy, SBOM and the 24-hour incident runbook, for 11 September 2026.",https://partsproof.thecompound.tech,partsproof.thecompound.tech,,,,https://partsproof.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,2,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:07.502+00:00,200
quorumfile,QuorumFile,"Unless your agency is in MTW or files exclusively through FRS, HUD begins enforcing HOTMA sections…","Unless your agency is in MTW or files exclusively through FRS, HUD begins enforcing HOTMA sections 102 and 104 on January 1, 2027. Enter your HUD participant code for a free Decision Sheet listing every election you have to record, each with its CFR citation. Flat fee from $499 for the redlined chapter and the whole adoption record.",https://quorumfile.thecompound.tech,quorumfile.thecompound.tech,,,,https://quorumfile.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,3,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:07.215+00:00,200
rulestack,RuleStack,"Real agent instruction files from live repositories, with the adoption numbers nobody else…","A gallery of real AGENTS.md, CLAUDE.md, Cursor, Copilot, Windsurf, GEMINI.md and Cline files, scraped from live repositories every night, classified by stack and scored. Capabilities are asserted; adoption is measured.",https://rulestack.thecompound.tech,rulestack.thecompound.tech,,,,https://rulestack.thecompound.tech/favicon.svg,developer-tools,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-17,4,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:06.738+00:00,200
shipwall,ShipWall,"Built with Lovable, v0, Bolt, Cursor, Claude Code or Replit?","Ten launches a day, ranked until midnight, then frozen. Built with Lovable, v0, Bolt, Cursor, Claude Code or Replit is the first fact on the row rather than the thing you leave out.",https://shipwall.thecompound.tech,shipwall.thecompound.tech,,,,https://shipwall.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,5,2026-08-17T00:00:00+00:00,false,0,2026-09-02T12:15:06.982+00:00,2026-09-02T12:15:06.982+00:00,200
skillworks,SkillWorks,"Scored directory of every Claude Code skill, subagent and plugin","Every Claude Code skill, subagent, plugin and marketplace repo we can find, each with a published 0–100 score for whether it actually loads. Rebuilt from GitHub and skills.sh every night. Nothing is hand-picked and a sponsor cannot move a number.",https://skillworks.thecompound.tech,skillworks.thecompound.tech,,,,https://skillworks.thecompound.tech/favicon.svg,developer-tools,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,6,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:08.601+00:00,200
soft-money-journal,Soft Money Journal,"A record of the ten minutes, the notebook, and the order things get paid in.","A record of the ten minutes, the notebook, and the order things get paid in. Every entry started as a short film; this is where the sentences stay.",https://softmoney.thecompound.tech,softmoney.thecompound.tech,,,,https://softmoney.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-17,7,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:07.948+00:00,200
stacktab,StackTab,"Supabase or Firebase, Clerk or Better Auth, Stripe or a merchant of record, where to host","Supabase or Firebase, Clerk or Better Auth, Stripe or a merchant of record, where to host — and the real monthly bill at 1,000, 10,000 and 100,000 users. Every rate read from the vendor's own pricing page and dated.",https://stacktab.thecompound.tech,stacktab.thecompound.tech,,,,https://stacktab.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-17,8,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:08.224+00:00,200
the-standup,The Standup,Dev/AI/infra news wire,"The dev wire: releases, vendor changelogs, security advisories and platform outages, with an email the hour something you depend on ships.",https://standup.thecompound.tech,standup.thecompound.tech,,,,https://standup.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-17,9,2026-08-17T00:00:00+00:00,false,0,,2026-09-02T12:15:07.725+00:00,200
goodstanding,GoodStanding,Flat-fee reinstatement Cure Packs for nonprofits on the IRS Auto-Revocation List,"Flat-fee reinstatement Cure Packs for nonprofits on the IRS Auto-Revocation List — free EIN diagnostic, every filing prepared, price on the page.",https://goodstanding.thecompound.tech,goodstanding.thecompound.tech,,,,https://goodstanding.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-18,1,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:07.402+00:00,200
heldback,HeldBack,Free lookup: is your retainage frozen by a missing Affidavit of Wages Paid?,Check whether retainage on your Washington public-works contract is frozen because no approved Affidavit of Wages Paid appears in L&I's published file. Free lookup by company name or UBI.,https://heldback.thecompound.tech,heldback.thecompound.tech,,,,https://heldback.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-18,2,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:08.385+00:00,200
kitgrade,KitGrade,"34 SaaS starter kits scored out of 100 on evidence anyone can re-check: commit history, what the…","34 SaaS starter kits scored out of 100 on evidence anyone can re-check: commit history, what the code actually ships, what a buyer can read before paying, and how deep the documentation goes. 15 of them we installed and ran ourselves.",https://kitgrade.thecompound.tech,kitgrade.thecompound.tech,,,,https://kitgrade.thecompound.tech/favicon.svg,developer-tools,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-18,3,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:08.156+00:00,200
listrun,ListRun,submits a product across the free startup/AI directories and returns a per-directory receipt,"We fill the submission form on every free startup, AI and SaaS directory your product qualifies for, and hand back one row per directory — including the ones nothing was attempted on and why. $49 or $99, one-off. The live directory list is free.",https://listrun.thecompound.tech,listrun.thecompound.tech,,,,https://listrun.thecompound.tech/favicon.svg,marketing-growth,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-18,4,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:07.896+00:00,200
still-mornings,Still Mornings,A record of slow mornings.,"A record of slow mornings. Every entry started as a thirty-second video; this is where the words stay — the hook, the lines that were read over it, and a frame from the morning it came out of.",https://stillmornings.thecompound.tech,stillmornings.thecompound.tech,,,,https://stillmornings.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-18,5,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:06.62+00:00,200
stillshipping,StillShipping,"Freshness verdicts for agent tooling, recomputed nightly from the GitHub API.","Maintained, slowing or dead for every agent orchestrator, spec framework, CLI agent and IDE extension worth choosing between — rescored nightly from the GitHub API, with the signals behind every verdict.",https://stillshipping.thecompound.tech,stillshipping.thecompound.tech,,,,https://stillshipping.thecompound.tech/favicon.svg,agents-automation,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-18,6,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:06.909+00:00,200
storeready,StoreReady,A sourced comparison of the AI mobile app builders,"A sourced comparison of the AI mobile app builders — Rork, Vibecode, a0.dev, Replit, Bolt and the rest — on what they produce, whether you can export the source, who submits the binary, and whether the result clears Apple App Store review.",https://storeready.thecompound.tech,storeready.thecompound.tech,,,,https://storeready.thecompound.tech/favicon.svg,developer-tools,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-18,7,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:07.161+00:00,200
tearline,Tearline,"One custom element that renders anything you wrap in it as a thermal receipt, then exports it as a…","One custom element that renders anything you wrap in it as a thermal receipt, then exports it as a PNG. Zero dependencies, no build step, MIT.",https://tearline.thecompound.tech,tearline.thecompound.tech,,,,https://tearline.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-18,8,2026-08-18T00:00:00+00:00,false,0,,2026-09-03T12:15:07.631+00:00,200
tooldrift,ToolDrift,Read from the vendors’ own pages every night.,"The models developers actually run inside their AI coding tools, re-counted every night — plus every price change and withdrawn tier across the tools themselves.",https://tooldrift.thecompound.tech,tooldrift.thecompound.tech,,,,https://tooldrift.thecompound.tech/favicon.svg,ai-apps,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-19,1,2026-08-19T00:00:00+00:00,false,0,,2026-09-03T12:15:08.651+00:00,200
toolproof,Toolproof,Nine indexes that read AI agent tooling from source and record what they find,"Nine indexes that read AI agent tooling from source and record what they find — skills, starter kits, registries, agent configs, extraction APIs. One published methodology, one measurement of each, and every figure on this site pulled live from the index that made it.",https://toolproof.thecompound.tech,toolproof.thecompound.tech,,,,https://toolproof.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-19,2,2026-08-19T00:00:00+00:00,false,0,,2026-09-03T12:15:08.904+00:00,200
truing,Truing,Every pay period so far this year ran without separating the overtime premium from straight time.,"Every pay period so far this year ran without separating the overtime premium from straight time. Truing reconstructs 2026 W-2 box 12 code TT and code TP per employee, per pay period.",https://truing.thecompound.tech,truing.thecompound.tech,,,,https://truing.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-19,3,2026-08-19T00:00:00+00:00,false,0,,2026-09-03T12:15:09.143+00:00,200
trustdesk,TrustDesk,TAKE IT DOWN Act compliance kit,"Drop-in TAKE IT DOWN Act compliance: a hosted NCII report form, a 48-hour SLA clock, and an append-only evidence log — the artifacts the FTC expects. Free policy generator.",https://trustdesk.thecompound.tech,trustdesk.thecompound.tech,,,,https://trustdesk.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-19,4,2026-08-19T00:00:00+00:00,false,0,,2026-09-03T12:15:09.495+00:00,200
cardchase,CardChase,For the SaaS team on Stripe Billing watching subscriptions end because a card failed and nobody…,For the SaaS team on Stripe Billing watching subscriptions end because a card failed and nobody wrote to the customer.,https://cardchase.thecompound.tech,cardchase.thecompound.tech,,,,https://cardchase.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-20,3,2026-08-20T00:00:00+00:00,false,0,,2026-08-28T12:15:08.663+00:00,200
clausewatch,ClauseWatch,Extracts contract renewal dates and alerts before automatic renewal,"For the operations, finance or legal-ops lead who owns a drawer of vendor contracts that renew themselves.",https://clausewatch.thecompound.tech,clausewatch.thecompound.tech,,,,https://clausewatch.thecompound.tech/favicon.svg,saas-business,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-20,4,2026-08-20T00:00:00+00:00,false,0,,2026-08-28T12:15:09.016+00:00,200
using-it-up,Using It Up,A small publication about finishing what you already own.,"A small publication about finishing what you already own. Things used to the last of them, mended, kept, and not bought.",https://usingitup.thecompound.tech,usingitup.thecompound.tech,,,,https://usingitup.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-20,1,2026-08-20T00:00:00+00:00,false,0,,2026-08-28T12:15:09.281+00:00,200
why-your-brain-does-that,Why Your Brain Does That,An index of things your brain does and why doing them makes sense.,An index of things your brain does and why doing them makes sense. Every entry was written to be spoken over a few seconds of footage; this is where the sentences stay.,https://whyyourbrain.thecompound.tech,whyyourbrain.thecompound.tech,,,,https://whyyourbrain.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-20,2,2026-08-20T00:00:00+00:00,false,0,,2026-08-28T12:15:09.61+00:00,200
leadgrade,LeadGrade,LeadGrade scores and enriches every inbound lead overnight and hands you a queue in the morning,"LeadGrade scores and enriches every inbound lead overnight and hands you a queue in the morning — highest first, each with the reasons for its score.",https://leadgrade.thecompound.tech,leadgrade.thecompound.tech,,,,https://leadgrade.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-21,1,2026-08-21T00:00:00+00:00,false,0,,2026-08-29T12:15:04.73+00:00,200
matchrail,MatchRail,"MatchRail reconciles the purchase order, the receipt and the bill against the QuickBooks or Xero…","MatchRail reconciles the purchase order, the receipt and the bill against the QuickBooks or Xero ledger you already close on, overnight — and queues only the ones that disagree.",https://matchrail.thecompound.tech,matchrail.thecompound.tech,,,,https://matchrail.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-21,2,2026-08-21T00:00:00+00:00,false,0,,2026-08-29T12:15:04.134+00:00,200
starreply,StarReply,Watches reviews across your locations and drafts replies for your approval,"StarReply reads the reviews on every location you own, drafts the reply in your voice, and holds it for your tap. A one-star review is never answered automatically — not in any mode, not ever.",https://starreply.thecompound.tech,starreply.thecompound.tech,,,,https://starreply.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-21,3,2026-08-21T00:00:00+00:00,false,0,,2026-08-29T12:15:05.058+00:00,200
triagedesk,TriageDesk,"TriageDesk reads support@ overnight, works out what every message is, and drafts the reply.","TriageDesk reads support@ overnight, works out what every message is, and drafts the reply. In the morning you approve, edit or kill each one — and nothing leaves your mailbox until you tap it.",https://triagedesk.thecompound.tech,triagedesk.thecompound.tech,,,,https://triagedesk.thecompound.tech/favicon.svg,productivity,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-21,4,2026-08-21T00:00:00+00:00,false,0,,2026-08-29T12:15:04.443+00:00,200
popwire,Popwire,"The top trending topic on the internet, one story per post, with the reporting behind it.","The top trending topic on the internet, one story per post, with the reporting behind it. Every category included.",https://popwire.thecompound.tech,popwire.thecompound.tech,,,,https://popwire.thecompound.tech/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-22,1,2026-08-22T00:00:00+00:00,false,0,,2026-08-30T12:15:06.627+00:00,200
outrip,OutRip,Rip a pack of collectible cards for your product,"Rip a pack of collectible cards for your product; your single best card’s rating is your rank on the public board. Rating is continuous and computed from six published trait frequencies, so there is no ceiling and first place is always beatable. Every pack returns at least what you paid in card value.",https://outrip.lol,outrip.lol,,,,https://outrip.lol/favicon.svg,,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-28,1,2026-08-28T00:00:00+00:00,false,0,,2026-08-28T12:15:08.352+00:00,200
